Iteration,Discriminator Loss,Generator Loss
0,0.695199,0.693464
10,0.384120,1.152892
20,0.057510,2.938048
30,0.029166,4.960835
40,0.233933,5.008241
50,0.298040,3.788318
60,0.413493,3.106217
70,0.674958,2.674620
80,0.808244,2.387120
90,4.954109,1.187998
100,0.941290,2.277864
110,5.996695,0.077991
120,9.510239,0.214131
130,9.078448,0.193397
140,3.592697,2.885660
150,8.593782,0.000004
160,3.372048,4.936726
170,24.104263,0.000062
180,2.404609,0.163412
190,5.728798,8.623821
200,6.390200,0.000000
210,19.035664,0.010602
220,12.047363,0.000000
230,5.123166,0.000000
240,10.967442,0.000000
250,11.555553,0.000000
260,17.981529,0.066902
270,11.330488,5.460534
280,10.563877,0.000000
290,4.416579,8.679226
300,18.245262,0.021379
310,4.579169,9.408968
320,11.179811,8.130299
330,2.934081,1.925948
340,2.913581,0.439276
350,3.479612,0.010033
360,13.446829,9.286427
370,19.843994,3.418847
380,2.737931,2.215768
390,10.805708,0.000000
400,6.443568,0.000000
410,10.249140,0.000000
420,6.096745,0.000000
430,11.415473,0.000002
440,16.801743,1.713312
450,13.368958,4.654458
460,14.134053,0.000102
470,9.582708,8.115383
480,11.868147,0.000033
490,5.321841,10.937943
500,1.771781,1.581618
510,1.941067,0.021500
520,1.815343,3.371046
530,12.035772,1.268150
540,2.402041,0.000091
550,9.550266,2.764953
560,3.050476,0.000021
570,1.816796,4.956527
580,1.542886,0.046031
590,4.824419,6.266520
600,1.610818,3.048757
610,6.472371,2.080788
620,6.595751,1.379387
630,1.530250,2.607239
640,5.191198,0.002247
650,2.436150,0.002385
660,2.524819,0.007056
670,2.850651,0.008232
680,4.093178,0.050364
690,3.713936,0.152908
700,2.343779,0.356699
710,1.396853,0.785448
720,1.364009,0.853324
730,1.361669,0.797342
740,1.374689,0.742323
750,1.385339,0.704474
760,1.387436,0.640190
770,1.385290,0.685301
780,1.379682,0.694745
790,1.385478,0.709870
800,1.378659,0.717824
810,1.381705,0.726448
820,1.381651,0.702444
830,1.383109,0.701912
840,1.382891,0.706258
850,1.374556,0.720542
860,1.383306,0.712741
870,1.374227,0.658585
880,1.374161,0.722660
890,1.367573,0.675779
900,1.383564,0.678516
910,1.385960,0.700112
920,1.385885,0.693023
930,1.385908,0.699658
940,1.384717,0.669223
950,1.385769,0.682915
960,1.376688,0.660123
970,1.378072,0.643518
980,1.381998,0.706688
990,1.385357,0.689750
1000,1.364346,0.676910
1010,1.386296,0.697764
1020,1.385442,0.677462
1030,1.386101,0.686037
1040,1.375411,0.731635
1050,1.372336,0.797010
1060,1.381130,0.675273
1070,1.384670,0.693774
1080,1.386310,0.698238
1090,1.376020,0.676205
1100,1.374775,0.774182
1110,1.382663,0.714001
1120,1.384803,0.682082
1130,1.383580,0.671714
1140,1.375201,0.725771
1150,1.383971,0.685327
1160,1.382088,0.655747
1170,1.380270,0.705258
1180,1.377290,0.711530
1190,1.378107,0.674173
1200,1.385597,0.700519
1210,1.371789,0.671536
1220,1.369892,0.664806
1230,1.369987,0.665226
1240,1.380669,0.651370
1250,1.380252,0.731286
1260,1.382581,0.698050
1270,1.385921,0.694085
1280,1.386287,0.696317
1290,1.379103,0.681635
1300,1.374827,0.690663
1310,1.385893,0.681096
1320,1.366946,0.703136
1330,1.385108,0.686120
1340,1.384158,0.681625
1350,1.372117,0.683626
1360,1.385206,0.692057
1370,1.361981,0.669394
1380,1.352237,0.578098
1390,1.209171,1.174109
1400,1.110921,0.507966
1410,0.968005,0.790846
1420,0.993906,0.578830
1430,1.010466,1.222339
1440,0.732548,1.372544
1450,0.981544,1.142494
1460,0.981430,0.660755
1470,0.934959,0.655340
1480,0.730824,0.435406
1490,0.809355,0.527342
1500,0.875203,0.456240
1510,0.689976,0.393792
1520,0.928549,1.573794
1530,0.882247,0.446653
1540,0.934855,1.039641
1550,1.046287,0.685957
1560,1.087636,1.590034
1570,0.868678,0.795002
1580,0.931458,0.488039
1590,1.052004,1.225629
1600,0.867417,0.720013
1610,1.015745,0.821547
1620,0.872914,0.859699
1630,0.971481,0.521884
1640,1.091684,1.068190
1650,0.818181,1.064958
1660,1.017522,0.976999
1670,0.932751,0.822521
1680,0.748786,1.174742
1690,0.772848,1.141535
1700,0.737086,0.718569
1710,0.883295,0.805081
1720,0.685418,0.920061
1730,0.870603,0.714987
1740,0.831089,1.236744
1750,0.926146,1.575218
1760,0.845847,1.458801
1770,0.982774,1.310173
1780,1.012297,1.263855
1790,0.956746,1.414397
1800,0.974793,1.241673
1810,0.896408,1.333960
1820,0.889528,1.332270
1830,0.862031,1.353919
1840,0.968048,1.276670
1850,0.961189,1.234383
1860,1.062052,1.212204
1870,0.968157,1.213485
1880,1.005592,0.867518
1890,0.930793,1.049095
1900,0.932937,1.021722
1910,0.935079,1.391323
1920,0.794782,0.451192
1930,0.997785,0.917509
